Rank,NOC,Gold,Silver,Bronze,Total,Year,Events_Participated,NA,ER,HE,Score,Score_Lag1,Score_Lag2,AP,Mundlak_ER,Mundlak_NM,Const
13,Kenya,5,2,2,9,1988,0.0,0.0,0.0,0,21,5.0,16.0,21.0,0.0,17.571428571428573,1
21,Kenya,2,4,2,8,1992,0.0,0.0,0.0,0,16,21.0,5.0,26.0,0.0,17.571428571428573,1
38,Kenya,1,4,3,8,1996,0.0,0.0,0.0,0,14,16.0,21.0,37.0,0.0,17.571428571428573,1
29,Kenya,2,3,2,7,2000,0.0,0.0,0.0,0,14,14.0,16.0,30.0,0.0,17.571428571428573,1
41,Kenya,1,4,2,7,2004,0.0,0.0,0.0,0,13,14.0,14.0,28.0,0.0,17.571428571428573,1
13,Kenya,6,4,6,16,2008,0.0,0.0,0.0,0,32,13.0,14.0,27.0,0.0,17.571428571428573,1
29,Kenya,2,4,7,13,2012,0.0,0.0,0.0,0,21,32.0,13.0,45.0,0.0,17.571428571428573,1
15,Kenya,6,6,1,13,2016,0.0,0.0,0.0,0,31,21.0,32.0,53.0,0.0,17.571428571428573,1
19,Kenya,4,4,2,10,2020,0.0,0.0,0.0,0,22,31.0,21.0,52.0,0.0,17.571428571428573,1
17,Kenya,4,2,5,11,2024,0.0,0.0,0.0,0,21,22.0,31.0,53.0,0.0,17.571428571428573,1
54,Kosovo,1,0,0,1,2016,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,4.0,1
42,Kosovo,2,0,0,2,2020,0.0,0.0,0.0,0,6,3.0,0.0,3.0,0.0,4.0,1
73,Kosovo,0,1,1,2,2024,0.0,0.0,0.0,0,3,6.0,3.0,9.0,0.0,4.0,1
71,Kuwait,0,0,1,1,2000,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,1.0,1
79,Kuwait,0,0,1,1,2012,0.0,0.0,0.0,0,1,1.0,0.0,1.0,0.0,1.0,1
86,Kuwait,0,0,1,1,2020,0.0,0.0,0.0,0,1,1.0,1.0,2.0,0.0,1.0,1
71,Kyrgyzstan,0,0,1,1,2000,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,4.5,1
64,Kyrgyzstan,0,1,2,3,2008,0.0,0.0,0.0,0,4,1.0,0.0,1.0,0.0,4.5,1
70,Kyrgyzstan,0,2,1,3,2020,0.0,0.0,0.0,0,5,4.0,1.0,5.0,0.0,4.5,1
68,Kyrgyzstan,0,2,4,6,2024,0.0,0.0,0.0,0,8,5.0,4.0,9.0,0.0,4.5,1
24,Latvia,0,1,1,2,1936,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,4.75,1
40,Latvia,0,2,1,3,1992,0.0,0.0,0.0,0,5,3.0,0.0,3.0,0.0,4.75,1
61,Latvia,0,1,0,1,1996,0.0,0.0,0.0,0,2,5.0,3.0,8.0,0.0,4.75,1
44,Latvia,1,1,1,3,2000,0.0,0.0,0.0,0,6,2.0,5.0,7.0,0.0,4.75,1
58,Latvia,0,4,0,4,2004,0.0,0.0,0.0,0,8,6.0,2.0,8.0,0.0,4.75,1
46,Latvia,1,1,1,3,2008,0.0,0.0,0.0,0,6,8.0,6.0,14.0,0.0,4.75,1
48,Latvia,1,0,1,2,2012,0.0,0.0,0.0,0,4,6.0,8.0,14.0,0.0,4.75,1
59,Latvia,1,0,1,2,2020,0.0,0.0,0.0,0,4,4.0,6.0,10.0,0.0,4.75,1
34,Lithuania,1,0,1,2,1992,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0,5.666666666666667,1
71,Lithuania,0,0,1,1,1996,0.0,0.0,0.0,0,1,4.0,0.0,4.0,0.0,5.666666666666667,1
33,Lithuania,2,0,3,5,2000,0.0,0.0,0.0,0,9,1.0,4.0,5.0,0.0,5.666666666666667,1
45,Lithuania,1,2,0,3,2004,0.0,0.0,0.0,0,7,9.0,1.0,10.0,0.0,5.666666666666667,1
57,Lithuania,0,3,2,5,2008,0.0,0.0,0.0,0,8,7.0,9.0,16.0,0.0,5.666666666666667,1
35,Lithuania,2,0,3,5,2012,0.0,0.0,0.0,0,9,8.0,7.0,15.0,0.0,5.666666666666667,1
65,Lithuania,0,1,3,4,2016,0.0,0.0,0.0,0,5,9.0,8.0,17.0,0.0,5.666666666666667,1
77,Lithuania,0,1,0,1,2020,0.0,0.0,0.0,0,2,5.0,9.0,14.0,0.0,5.666666666666667,1
70,Lithuania,0,2,2,4,2024,0.0,0.0,0.0,0,6,2.0,5.0,7.0,0.0,5.666666666666667,1
54,Malaysia,0,0,1,1,1992,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,3.2857142857142856,1
58,Malaysia,0,1,1,2,1996,0.0,0.0,0.0,0,3,1.0,0.0,1.0,0.0,3.2857142857142856,1
72,Malaysia,0,1,0,1,2008,0.0,0.0,0.0,0,2,3.0,1.0,4.0,0.0,3.2857142857142856,1
65,Malaysia,0,1,1,2,2012,0.0,0.0,0.0,0,3,2.0,3.0,5.0,0.0,3.2857142857142856,1
60,Malaysia,0,4,1,5,2016,0.0,0.0,0.0,0,9,3.0,2.0,5.0,0.0,3.2857142857142856,1
74,Malaysia,0,1,1,2,2020,0.0,0.0,0.0,0,3,9.0,3.0,12.0,0.0,3.2857142857142856,1
80,Malaysia,0,0,2,2,2024,0.0,0.0,0.0,0,2,3.0,9.0,12.0,0.0,3.2857142857142856,1
28,Mexico,0,0,3,3,1936,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,6.25,1
17,Mexico,2,1,2,5,1948,0.0,0.0,0.0,0,10,3.0,0.0,3.0,0.0,6.25,1
34,Mexico,0,1,0,1,1952,0.0,0.0,0.0,0,2,10.0,3.0,13.0,0.0,6.25,1
23,Mexico,1,0,1,2,1956,0.0,0.0,0.0,0,4,2.0,10.0,12.0,0.0,6.25,1
35,Mexico,0,0,1,1,1964,0.0,0.0,0.0,0,1,4.0,2.0,6.0,0.0,6.25,1
15,Mexico,3,3,3,9,1968,0.0,0.0,0.0,0,18,1.0,4.0,5.0,0.0,6.25,1
33,Mexico,0,1,0,1,1972,0.0,0.0,0.0,0,2,18.0,1.0,19.0,0.0,6.25,1
25,Mexico,1,0,1,2,1976,0.0,0.0,0.0,0,4,2.0,18.0,20.0,0.0,6.25,1
29,Mexico,0,1,3,4,1980,0.0,0.0,0.0,0,5,4.0,2.0,6.0,0.0,6.25,1
17,Mexico,2,3,1,6,1984,0.0,0.0,0.0,0,13,5.0,4.0,9.0,0.0,6.25,1
44,Mexico,0,0,2,2,1988,0.0,0.0,0.0,0,2,13.0,5.0,18.0,0.0,6.25,1
49,Mexico,0,1,0,1,1992,0.0,0.0,0.0,0,2,2.0,13.0,15.0,0.0,6.25,1
71,Mexico,0,0,1,1,1996,0.0,0.0,0.0,0,1,2.0,2.0,4.0,0.0,6.25,1
40,Mexico,1,2,3,6,2000,0.0,0.0,0.0,0,10,1.0,2.0,3.0,0.0,6.25,1
59,Mexico,0,3,1,4,2004,0.0,0.0,0.0,0,7,10.0,1.0,11.0,0.0,6.25,1
36,Mexico,2,0,2,4,2008,0.0,0.0,0.0,0,8,7.0,10.0,17.0,0.0,6.25,1
39,Mexico,1,3,4,8,2012,0.0,0.0,0.0,0,13,8.0,7.0,15.0,0.0,6.25,1
61,Mexico,0,3,2,5,2016,0.0,0.0,0.0,0,8,13.0,8.0,21.0,0.0,6.25,1
84,Mexico,0,0,4,4,2020,0.0,0.0,0.0,0,4,8.0,13.0,21.0,0.0,6.25,1
65,Mexico,0,3,2,5,2024,0.0,0.0,0.0,0,8,4.0,8.0,12.0,0.0,6.25,1
58,Moldova,0,1,1,2,1996,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,2.6,1
61,Moldova,0,1,1,2,2000,0.0,0.0,0.0,0,3,3.0,0.0,3.0,0.0,2.6,1
82,Moldova,0,0,1,1,2008,0.0,0.0,0.0,0,1,3.0,3.0,6.0,0.0,2.6,1
86,Moldova,0,0,1,1,2020,0.0,0.0,0.0,0,1,1.0,3.0,4.0,0.0,2.6,1
72,Moldova,0,1,3,4,2024,0.0,0.0,0.0,0,5,1.0,1.0,2.0,0.0,2.6,1
34,Mongolia,0,1,3,4,1968,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0,3.6153846153846154,1
33,Mongolia,0,1,0,1,1972,0.0,0.0,0.0,0,2,5.0,0.0,5.0,0.0,3.6153846153846154,1
34,Mongolia,0,1,0,1,1976,0.0,0.0,0.0,0,2,2.0,5.0,7.0,0.0,3.6153846153846154,1
27,Mongolia,0,2,2,4,1980,0.0,0.0,0.0,0,6,2.0,2.0,4.0,0.0,3.6153846153846154,1
46,Mongolia,0,0,1,1,1988,0.0,0.0,0.0,0,1,6.0,2.0,8.0,0.0,3.6153846153846154,1
52,Mongolia,0,0,2,2,1992,0.0,0.0,0.0,0,2,1.0,6.0,7.0,0.0,3.6153846153846154,1
71,Mongolia,0,0,1,1,1996,0.0,0.0,0.0,0,1,2.0,1.0,3.0,0.0,3.6153846153846154,1
71,Mongolia,0,0,1,1,2004,0.0,0.0,0.0,0,1,1.0,2.0,3.0,0.0,3.6153846153846154,1
33,Mongolia,2,2,0,4,2008,0.0,0.0,0.0,0,10,1.0,1.0,2.0,0.0,3.6153846153846154,1
58,Mongolia,0,2,3,5,2012,0.0,0.0,0.0,0,7,10.0,1.0,11.0,0.0,3.6153846153846154,1
67,Mongolia,0,1,1,2,2016,0.0,0.0,0.0,0,3,7.0,10.0,17.0,0.0,3.6153846153846154,1
71,Mongolia,0,1,3,4,2020,0.0,0.0,0.0,0,5,3.0,7.0,10.0,0.0,3.6153846153846154,1
74,Mongolia,0,1,0,1,2024,0.0,0.0,0.0,0,2,5.0,3.0,8.0,0.0,3.6153846153846154,1
18,Morocco,2,0,0,2,1984,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,4.090909090909091,1
28,Morocco,1,0,2,3,1988,0.0,0.0,0.0,0,5,6.0,0.0,6.0,0.0,4.090909090909091,1
31,Morocco,1,1,1,3,1992,0.0,0.0,0.0,0,6,5.0,6.0,11.0,0.0,4.090909090909091,1
68,Morocco,0,0,2,2,1996,0.0,0.0,0.0,0,2,6.0,5.0,11.0,0.0,4.090909090909091,1
58,Morocco,0,1,4,5,2000,0.0,0.0,0.0,0,6,2.0,6.0,8.0,0.0,4.090909090909091,1
37,Morocco,2,1,0,3,2004,0.0,0.0,0.0,0,8,6.0,2.0,8.0,0.0,4.090909090909091,1
68,Morocco,0,1,1,2,2008,0.0,0.0,0.0,0,3,8.0,6.0,14.0,0.0,4.090909090909091,1
79,Morocco,0,0,1,1,2012,0.0,0.0,0.0,0,1,3.0,8.0,11.0,0.0,4.090909090909091,1
78,Morocco,0,0,1,1,2016,0.0,0.0,0.0,0,1,1.0,3.0,4.0,0.0,4.090909090909091,1
63,Morocco,1,0,0,1,2020,0.0,0.0,0.0,0,3,1.0,1.0,2.0,0.0,4.090909090909091,1
60,Morocco,1,0,1,2,2024,0.0,0.0,0.0,0,4,3.0,1.0,4.0,0.0,4.090909090909091,1
41,Namibia,0,2,0,2,1992,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0,3.3333333333333335,1
55,Namibia,0,2,0,2,1996,0.0,0.0,0.0,0,4,4.0,0.0,4.0,0.0,3.3333333333333335,1
77,Namibia,0,1,0,1,2020,0.0,0.0,0.0,0,2,4.0,4.0,8.0,0.0,3.3333333333333335,1
17,Netherlands,0,2,3,5,1900,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.0,26.72,1
17,Netherlands,0,0,2,2,1908,0.0,0.0,0.0,0,2,7.0,0.0,7.0,0.0,26.72,1
18,Netherlands,0,0,3,3,1912,0.0,0.0,0.0,0,3,2.0,7.0,9.0,0.0,26.72,1
9,Netherlands,4,2,5,11,1920,0.0,0.0,0.0,0,21,3.0,2.0,5.0,0.0,26.72,1
9,Netherlands,4,1,5,10,1924,0.0,0.0,0.0,0,19,21.0,3.0,24.0,0.0,26.72,1
8,Netherlands,6,9,4,19,1928,0.0,0.0,0.0,0,40,19.0,21.0,40.0,0.0,26.72,1
9,Netherlands,6,4,7,17,1936,0.0,0.0,0.0,0,33,40.0,19.0,59.0,0.0,26.72,1
11,Netherlands,5,2,9,16,1948,0.0,0.0,0.0,0,28,33.0,40.0,73.0,0.0,26.72,1
29,Netherlands,0,5,0,5,1952,0.0,0.0,0.0,0,10,28.0,33.0,61.0,0.0,26.72,1
15,Netherlands,2,4,4,10,1964,0.0,0.0,0.0,0,18,10.0,28.0,38.0,0.0,26.72,1
17,Netherlands,3,3,1,7,1968,0.0,0.0,0.0,0,16,18.0,10.0,28.0,0.0,26.72,1
16,Netherlands,3,1,1,5,1972,0.0,0.0,0.0,0,12,16.0,18.0,34.0,0.0,26.72,1
29,Netherlands,0,2,3,5,1976,0.0,0.0,0.0,0,7,12.0,16.0,28.0,0.0,26.72,1
30,Netherlands,0,1,2,3,1980,0.0,0.0,0.0,0,4,7.0,12.0,19.0,0.0,26.72,1
13,Netherlands,5,2,6,13,1984,0.0,0.0,0.0,0,25,4.0,7.0,11.0,0.0,26.72,1
22,Netherlands,2,2,5,9,1988,0.0,0.0,0.0,0,15,25.0,4.0,29.0,0.0,26.72,1
20,Netherlands,2,6,7,15,1992,0.0,0.0,0.0,0,25,15.0,25.0,40.0,0.0,26.72,1
15,Netherlands,4,5,10,19,1996,0.0,0.0,0.0,0,32,25.0,15.0,40.0,0.0,26.72,1
8,Netherlands,12,9,4,25,2000,0.0,0.0,0.0,0,58,32.0,25.0,57.0,0.0,26.72,1
18,Netherlands,4,9,9,22,2004,0.0,0.0,0.0,0,39,58.0,32.0,90.0,0.0,26.72,1
11,Netherlands,7,5,4,16,2008,0.0,0.0,0.0,0,35,39.0,58.0,97.0,0.0,26.72,1
13,Netherlands,6,6,8,20,2012,0.0,0.0,0.0,0,38,35.0,39.0,74.0,0.0,26.72,1
11,Netherlands,8,7,4,19,2016,0.0,0.0,0.0,0,42,38.0,35.0,73.0,0.0,26.72,1
7,Netherlands,10,12,14,36,2020,0.0,0.0,0.0,0,68,42.0,38.0,80.0,0.0,26.72,1
6,Netherlands,15,7,12,34,2024,0.0,0.0,0.0,0,71,68.0,42.0,110.0,0.0,26.72,1
22,New Zealand,0,0,1,1,1920,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,14.952380952380953,1
23,New Zealand,0,0,1,1,1924,0.0,0.0,0.0,0,1,1.0,0.0,1.0,0.0,14.952380952380953,1
24,New Zealand,1,0,0,1,1928,0.0,0.0,0.0,0,3,1.0,1.0,2.0,0.0,14.952380952380953,1
20,New Zealand,1,0,0,1,1936,0.0,0.0,0.0,0,3,3.0,1.0,4.0,0.0,14.952380952380953,1
24,New Zealand,1,0,2,3,1952,0.0,0.0,0.0,0,5,3.0,3.0,6.0,0.0,14.952380952380953,1
16,New Zealand,2,0,0,2,1956,0.0,0.0,0.0,0,6,5.0,3.0,8.0,0.0,14.952380952380953,1
12,New Zealand,3,0,2,5,1964,0.0,0.0,0.0,0,11,6.0,5.0,11.0,0.0,14.952380952380953,1
27,New Zealand,1,0,2,3,1968,0.0,0.0,0.0,0,5,11.0,6.0,17.0,0.0,14.952380952380953,1
23,New Zealand,1,1,1,3,1972,0.0,0.0,0.0,0,6,5.0,11.0,16.0,0.0,14.952380952380953,1
18,New Zealand,2,1,1,4,1976,0.0,0.0,0.0,0,9,6.0,5.0,11.0,0.0,14.952380952380953,1
8,New Zealand,8,1,2,11,1984,0.0,0.0,0.0,0,28,9.0,6.0,15.0,0.0,14.952380952380953,1
18,New Zealand,3,2,8,13,1988,0.0,0.0,0.0,0,21,28.0,9.0,37.0,0.0,14.952380952380953,1
28,New Zealand,1,4,5,10,1992,0.0,0.0,0.0,0,16,21.0,28.0,49.0,0.0,14.952380952380953,1
26,New Zealand,3,2,1,6,1996,0.0,0.0,0.0,0,14,16.0,21.0,37.0,0.0,14.952380952380953,1
46,New Zealand,1,0,3,4,2000,0.0,0.0,0.0,0,6,14.0,16.0,30.0,0.0,14.952380952380953,1
24,New Zealand,3,2,0,5,2004,0.0,0.0,0.0,0,13,6.0,14.0,20.0,0.0,14.952380952380953,1
27,New Zealand,3,2,4,9,2008,0.0,0.0,0.0,0,17,13.0,6.0,19.0,0.0,14.952380952380953,1
14,New Zealand,6,2,5,13,2012,0.0,0.0,0.0,0,27,17.0,13.0,30.0,0.0,14.952380952380953,1
19,New Zealand,4,9,5,18,2016,0.0,0.0,0.0,0,35,27.0,17.0,44.0,0.0,14.952380952380953,1
13,New Zealand,7,6,7,20,2020,0.0,0.0,0.0,0,40,35.0,27.0,62.0,0.0,14.952380952380953,1
11,New Zealand,10,7,3,20,2024,0.0,0.0,0.0,0,47,40.0,35.0,75.0,0.0,14.952380952380953,1
35,Nigeria,0,0,1,1,1964,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,4.4,1
43,Nigeria,0,0,1,1,1972,0.0,0.0,0.0,0,1,1.0,0.0,1.0,0.0,4.4,1
30,Nigeria,0,1,1,2,1984,0.0,0.0,0.0,0,3,1.0,1.0,2.0,0.0,4.4,1
38,Nigeria,0,3,1,4,1992,0.0,0.0,0.0,0,7,3.0,1.0,4.0,0.0,4.4,1
32,Nigeria,2,1,3,6,1996,0.0,0.0,0.0,0,11,7.0,3.0,10.0,0.0,4.4,1
41,Nigeria,1,2,0,3,2000,0.0,0.0,0.0,0,7,11.0,7.0,18.0,0.0,4.4,1
68,Nigeria,0,0,2,2,2004,0.0,0.0,0.0,0,2,7.0,11.0,18.0,0.0,4.4,1
57,Nigeria,0,3,2,5,2008,0.0,0.0,0.0,0,8,2.0,7.0,9.0,0.0,4.4,1
78,Nigeria,0,0,1,1,2016,0.0,0.0,0.0,0,1,8.0,2.0,10.0,0.0,4.4,1
74,Nigeria,0,1,1,2,2020,0.0,0.0,0.0,0,3,1.0,8.0,9.0,0.0,4.4,1
22,North Korea,1,1,3,5,1972,0.0,0.0,0.0,0,8,0.0,0.0,0.0,0.0,10.0,1
21,North Korea,1,1,0,2,1976,0.0,0.0,0.0,0,5,8.0,0.0,8.0,0.0,10.0,1
26,North Korea,0,3,2,5,1980,0.0,0.0,0.0,0,8,5.0,8.0,13.0,0.0,10.0,1
16,North Korea,4,0,5,9,1992,0.0,0.0,0.0,0,17,8.0,5.0,13.0,0.0,10.0,1
33,North Korea,2,1,2,5,1996,0.0,0.0,0.0,0,10,17.0,8.0,25.0,0.0,10.0,1
60,North Korea,0,1,3,4,2000,0.0,0.0,0.0,0,5,10.0,17.0,27.0,0.0,10.0,1
57,North Korea,0,4,1,5,2004,0.0,0.0,0.0,0,9,5.0,10.0,15.0,0.0,10.0,1
31,North Korea,2,2,2,6,2008,0.0,0.0,0.0,0,12,9.0,5.0,14.0,0.0,10.0,1
21,North Korea,4,0,2,6,2012,0.0,0.0,0.0,0,14,12.0,9.0,21.0,0.0,10.0,1
34,North Korea,2,3,2,7,2016,0.0,0.0,0.0,0,14,14.0,12.0,26.0,0.0,10.0,1
68,North Korea,0,2,4,6,2024,0.0,0.0,0.0,0,8,14.0,14.0,28.0,0.0,10.0,1
77,North Macedonia,0,1,0,1,2020,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,2.0,1
17,Norway,0,2,3,5,1900,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.0,14.04,1
7,Norway,2,0,0,2,1904,0.0,0.0,0.0,0,6,7.0,0.0,7.0,0.0,14.04,1
8,Norway,2,3,3,8,1908,0.0,0.0,0.0,0,15,6.0,7.0,13.0,0.0,14.04,1
8,Norway,3,2,5,10,1912,0.0,0.0,0.0,0,18,15.0,6.0,21.0,0.0,14.04,1
6,Norway,13,9,9,31,1920,0.0,0.0,0.0,0,66,18.0,15.0,33.0,0.0,14.04,1
7,Norway,5,2,3,10,1924,0.0,0.0,0.0,0,22,66.0,18.0,84.0,0.0,14.04,1
19,Norway,1,2,1,4,1928,0.0,0.0,0.0,0,8,22.0,66.0,88.0,0.0,14.04,1
18,Norway,1,3,2,6,1936,0.0,0.0,0.0,0,11,8.0,22.0,30.0,0.0,14.04,1
19,Norway,1,3,3,7,1948,0.0,0.0,0.0,0,12,11.0,8.0,19.0,0.0,14.04,1
10,Norway,3,2,0,5,1952,0.0,0.0,0.0,0,13,12.0,11.0,23.0,0.0,14.04,1
22,Norway,1,0,2,3,1956,0.0,0.0,0.0,0,5,13.0,12.0,25.0,0.0,14.04,1
25,Norway,1,1,0,2,1968,0.0,0.0,0.0,0,5,5.0,13.0,18.0,0.0,14.04,1
21,Norway,2,1,1,4,1972,0.0,0.0,0.0,0,9,5.0,5.0,10.0,0.0,14.04,1
21,Norway,1,1,0,2,1976,0.0,0.0,0.0,0,5,9.0,5.0,14.0,0.0,14.04,1
28,Norway,0,1,2,3,1984,0.0,0.0,0.0,0,4,5.0,9.0,14.0,0.0,14.04,1
21,Norway,2,3,0,5,1988,0.0,0.0,0.0,0,12,4.0,5.0,9.0,0.0,14.04,1
22,Norway,2,4,1,7,1992,0.0,0.0,0.0,0,15,12.0,4.0,16.0,0.0,14.04,1
30,Norway,2,2,3,7,1996,0.0,0.0,0.0,0,13,15.0,12.0,27.0,0.0,14.04,1
19,Norway,4,3,3,10,2000,0.0,0.0,0.0,0,21,13.0,15.0,28.0,0.0,14.04,1
17,Norway,5,0,1,6,2004,0.0,0.0,0.0,0,16,21.0,13.0,34.0,0.0,14.04,1
22,Norway,3,5,1,9,2008,0.0,0.0,0.0,0,20,16.0,21.0,37.0,0.0,14.04,1
34,Norway,2,1,1,4,2012,0.0,0.0,0.0,0,9,20.0,16.0,36.0,0.0,14.04,1
74,Norway,0,0,4,4,2016,0.0,0.0,0.0,0,4,9.0,20.0,29.0,0.0,14.04,1
20,Norway,4,2,2,8,2020,0.0,0.0,0.0,0,18,4.0,9.0,13.0,0.0,14.04,1
18,Norway,4,1,3,8,2024,0.0,0.0,0.0,0,17,18.0,4.0,22.0,0.0,14.04,1
31,Pakistan,0,1,0,1,1956,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,2.0,1
30,Pakistan,0,1,0,1,1964,0.0,0.0,0.0,0,2,2.0,0.0,2.0,0.0,2.0,1
29,Pakistan,1,0,0,1,1968,0.0,0.0,0.0,0,3,2.0,2.0,4.0,0.0,2.0,1
33,Pakistan,0,1,0,1,1972,0.0,0.0,0.0,0,2,3.0,2.0,5.0,0.0,2.0,1
37,Pakistan,0,0,1,1,1976,0.0,0.0,0.0,0,1,2.0,3.0,5.0,0.0,2.0,1
25,Pakistan,1,0,0,1,1984,0.0,0.0,0.0,0,3,1.0,2.0,3.0,0.0,2.0,1
46,Pakistan,0,0,1,1,1988,0.0,0.0,0.0,0,1,3.0,1.0,4.0,0.0,2.0,1
54,Pakistan,0,0,1,1,1992,0.0,0.0,0.0,0,1,1.0,3.0,4.0,0.0,2.0,1
62,Pakistan,1,0,0,1,2024,0.0,0.0,0.0,0,3,1.0,1.0,2.0,0.0,2.0,1
32,Panama,0,0,2,2,1948,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,2.3333333333333335,1
53,Panama,1,0,0,1,2008,0.0,0.0,0.0,0,3,2.0,0.0,2.0,0.0,2.3333333333333335,1
74,Panama,0,1,0,1,2024,0.0,0.0,0.0,0,2,3.0,2.0,5.0,0.0,2.3333333333333335,1
22,Peru,1,0,0,1,1948,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,2.0,1
33,Peru,0,1,0,1,1984,0.0,0.0,0.0,0,2,3.0,0.0,3.0,0.0,2.0,1
36,Peru,0,1,0,1,1988,0.0,0.0,0.0,0,2,2.0,3.0,5.0,0.0,2.0,1
49,Peru,0,1,0,1,1992,0.0,0.0,0.0,0,2,2.0,2.0,4.0,0.0,2.0,1
84,Peru,0,0,1,1,2024,0.0,0.0,0.0,0,1,2.0,2.0,4.0,0.0,2.0,1
32,Philippines,0,0,1,1,1928,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,2.888888888888889,1
30,Philippines,0,0,1,1,1936,0.0,0.0,0.0,0,1,1.0,0.0,1.0,0.0,2.888888888888889,1
30,Philippines,0,1,0,1,1964,0.0,0.0,0.0,0,2,1.0,1.0,2.0,0.0,2.888888888888889,1
46,Philippines,0,0,1,1,1988,0.0,0.0,0.0,0,1,2.0,1.0,3.0,0.0,2.888888888888889,1
54,Philippines,0,0,1,1,1992,0.0,0.0,0.0,0,1,1.0,2.0,3.0,0.0,2.888888888888889,1
61,Philippines,0,1,0,1,1996,0.0,0.0,0.0,0,2,1.0,1.0,2.0,0.0,2.888888888888889,1
69,Philippines,0,1,0,1,2016,0.0,0.0,0.0,0,2,2.0,1.0,3.0,0.0,2.888888888888889,1
50,Philippines,1,2,1,4,2020,0.0,0.0,0.0,0,8,2.0,2.0,4.0,0.0,2.888888888888889,1
37,Philippines,2,0,2,4,2024,0.0,0.0,0.0,0,8,8.0,2.0,10.0,0.0,2.888888888888889,1
22,Poland,0,1,1,2,1924,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,24.0,1
21,Poland,1,1,3,5,1928,0.0,0.0,0.0,0,8,3.0,0.0,3.0,0.0,24.0,1
22,Poland,0,4,5,9,1936,0.0,0.0,0.0,0,13,8.0,3.0,11.0,0.0,24.0,1
34,Poland,0,0,1,1,1948,0.0,0.0,0.0,0,1,13.0,8.0,21.0,0.0,24.0,1
20,Poland,1,2,1,4,1952,0.0,0.0,0.0,0,8,1.0,13.0,14.0,0.0,24.0,1
17,Poland,1,4,4,9,1956,0.0,0.0,0.0,0,15,8.0,1.0,9.0,0.0,24.0,1
7,Poland,7,6,10,23,1964,0.0,0.0,0.0,0,43,15.0,8.0,23.0,0.0,24.0,1
11,Poland,5,2,11,18,1968,0.0,0.0,0.0,0,30,43.0,15.0,58.0,0.0,24.0,1
7,Poland,7,5,9,21,1972,0.0,0.0,0.0,0,40,30.0,43.0,73.0,0.0,24.0,1
6,Poland,7,6,13,26,1976,0.0,0.0,0.0,0,46,40.0,30.0,70.0,0.0,24.0,1
10,Poland,3,14,15,32,1980,0.0,0.0,0.0,0,52,46.0,40.0,86.0,0.0,24.0,1
20,Poland,2,5,9,16,1988,0.0,0.0,0.0,0,25,52.0,46.0,98.0,0.0,24.0,1
19,Poland,3,6,10,19,1992,0.0,0.0,0.0,0,31,25.0,52.0,77.0,0.0,24.0,1
11,Poland,7,5,5,17,1996,0.0,0.0,0.0,0,36,31.0,25.0,56.0,0.0,24.0,1
14,Poland,6,5,3,14,2000,0.0,0.0,0.0,0,31,36.0,31.0,67.0,0.0,24.0,1
23,Poland,3,2,5,10,2004,0.0,0.0,0.0,0,18,31.0,36.0,67.0,0.0,24.0,1
16,Poland,4,5,2,11,2008,0.0,0.0,0.0,0,24,18.0,31.0,49.0,0.0,24.0,1
23,Poland,3,2,6,11,2012,0.0,0.0,0.0,0,19,24.0,18.0,42.0,0.0,24.0,1
33,Poland,2,3,6,11,2016,0.0,0.0,0.0,0,18,19.0,24.0,43.0,0.0,24.0,1
17,Poland,4,5,5,14,2020,0.0,0.0,0.0,0,27,18.0,19.0,37.0,0.0,24.0,1
42,Poland,1,4,5,10,2024,0.0,0.0,0.0,0,16,27.0,18.0,45.0,0.0,24.0,1
23,Portugal,0,0,1,1,1924,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,3.3125,1
32,Portugal,0,0,1,1,1928,0.0,0.0,0.0,0,1,1.0,0.0,1.0,0.0,3.3125,1
30,Portugal,0,0,1,1,1936,0.0,0.0,0.0,0,1,1.0,1.0,2.0,0.0,3.3125,1
26,Portugal,0,1,1,2,1948,0.0,0.0,0.0,0,3,1.0,1.0,2.0,0.0,3.3125,1
